airbnb_property_id,rating,bathrooms,title,occ,bedrooms,accommodates,adr,revenue,reviews,homeaway_property_id,longitude,latitude,m_homeaway_property_id,property_type,id,room_type,platforms__airbnb_property_id,platforms__homeaway_property_id,listings_returned,area_info__geom__|,area_info__geom__|__country,area_info__geom__|__state,area_info__geom__|__city
14424103,9.8,1,Great 1 bedroom full private suite.,0.873913,1,4,55.4998,11155.5,40,null,-122.7974,49.15091,null,House,3917984,Entire home/apt,14424103,null,,,,,
31001126,10,2,New Private 2 bedroom 2 bathroom condo Surrey.,0.272727,2,2,93.9058,281.717,1,null,-122.7809,49.16068,null,Condominium,11927753,Entire home/apt,31001126,null,,,,,
100372859,0,1,Modern and  Spacious  Bsmt Suite near Semiyamoo trails,1,1,3,70.4055,13940.3,0,4300457,-122.8148619,49.0607513,null,House,100372859,Entire home/apt,null,4300457,,,,,
27602370,10,1,Homey Legal  Suite in South Surrey,0.882353,1,2,76.2479,2287.44,2,null,-122.78267,49.05329,null,House,10624895,Entire home/apt,27602370,null,,,,,
32408051,null,2,Fraser height Cozy Stay Double Suite,1,4,7,161.27,2257.78,0,null,-122.78248,49.2001,null,Guest suite,12582537,Entire home/apt,32408051,null,,,,,
14131871,9.7,2,"4 BedRooms; 2 ParKing, Clean, Spacious, Quiet",0.739623,4,11,249.374,48877.3,72,null,-122.82558,49.1973,4273394,Guest suite,3575362,Entire home/apt,14131871,4273394,,,,,
32646778,8,1,Spacious and cozy 2-bed suite with a huge garden,0.926829,2,5,71.0146,2698.56,2,null,-122.85695,49.10178,null,Apartment,12591410,Entire home/apt,32646778,null,,,,,
28613224,9.7,1,Cozy 1 bedroom fully renovated private suite,0.552632,1,2,59.9829,2519.28,13,null,-122.82264,49.155,null,Guest suite,11015887,Entire home/apt,28613224,null,,,,,
17753653,10,1,3 People Room: Large Private-bath & Walkin-Closet,0.324786,1,3,125.251,4759.54,7,null,-122.78893,49.03324,null,Apartment,6069883,Entire home/apt,17753653,null,,,,,
19846403,9.8,2,Luxurious 2 Bedroom 2 Bathroom Private Suite,0.760606,2,6,170.188,42717.2,131,null,-122.86034,49.10544,null,Guest suite,6753881,Entire home/apt,19846403,null,,,,,
